For learning rate: 0.001
____________________________________________________________
Epoch No 	 Accuracy
1	0.8144510698
2	0.840406874781
3	0.851631006664
4	0.850929498422
5	0.862153630305
6	0.847071203087
7	0.843914415994
8	0.834794808839
9	0.831638021747
10	0.841108383024
11	0.842511399509
12	0.828481234655
13	0.860049105577
14	0.853735531392
15	0.859347597334
16	0.863205892669
17	0.86601192564
18	0.855840056121
19	0.858996843213
20	0.871974745703
21	0.889512451771
22	0.888109435286
23	0.893019992985
24	0.909154682568
25	0.921781830937
26	0.918274289723
27	0.923184847422
28	0.921080322694
29	0.929147667485
30	0.934408979306
Maximum for this learning rate: 0.934408979306


For learning rate: 0.003
____________________________________________________________
Epoch No 	 Accuracy
1	0.818309365135
2	0.819010873378
3	0.798316380217
4	0.813048053315
5	0.82462293932
6	0.825675201684
7	0.895475271834
8	0.92528937215
9	0.933707471063
10	0.939319537005
11	0.944580848825
12	0.945633111189
13	0.94072255349
14	0.943528586461
15	0.947737635917
16	0.944931602946
17	0.946334619432
18	0.939319537005
19	0.945282357068
20	0.941774815854
21	0.941424061733
22	0.942476324097
23	0.944931602946
24	0.942827078218
25	0.943528586461
26	0.944230094704
27	0.946685373553
28	0.947737635917
29	0.949140652403
30	0.950192914767
Maximum for this learning rate: 0.950192914767


For learning rate: 0.01
____________________________________________________________
Epoch No 	 Accuracy
1	0.76815152578
2	0.92002806033
3	0.941424061733
4	0.94072255349
5	0.946334619432
6	0.947386881796
7	0.948789898281
8	0.949140652403
9	0.947737635917
10	0.94598386531
11	0.944230094704
12	0.947737635917
13	0.947737635917
14	0.949491406524
15	0.948789898281
16	0.949842160645
17	0.950894423009
18	0.950894423009
19	0.948789898281
20	0.952648193616
21	0.953349701859
22	0.950894423009
23	0.950543668888
24	0.950543668888
25	0.954752718344
26	0.952297439495
27	0.950543668888
28	0.953349701859
29	0.951245177131
30	0.954051210102
Maximum for this learning rate: 0.954752718344


For learning rate: 0.1
____________________________________________________________
Epoch No 	 Accuracy
1	0.935811995791
2	0.936162749912
3	0.942125569975
4	0.947386881796
5	0.948088390039
6	0.947036127675
7	0.947737635917
8	0.951946685374
9	0.950894423009
10	0.951595931252
11	0.950543668888
12	0.949140652403
13	0.949491406524
14	0.951245177131
15	0.952998947738
16	0.952648193616
17	0.952297439495
18	0.952998947738
19	0.953349701859
20	0.951595931252
21	0.945282357068
22	0.948088390039
23	0.949842160645
24	0.947386881796
25	0.942827078218
26	0.947737635917
27	0.947386881796
28	0.947036127675
29	0.949491406524
30	0.943879340582
Maximum for this learning rate: 0.953349701859


